modelName,Q4 2022,Q4 2021
Mazda CX-30,15421,12711
Mazda CX-5,35645,31105
Mazda CX-50,7953,0
Mazda CX-9,11111,5694
Mazda MX-30,0,61
Mazda MX-5 Miata,1600,939
Mercedes-Benz A-Class,0,1227
Mercedes-Benz AMG GT,0,303
Mercedes-Benz C-Class,0,1731
Mercedes-Benz CLA-Class,0,1542
Mercedes-Benz E / CLS-Class,0,3312
Mercedes-Benz EQB SUV,0,0
Mercedes-Benz EQS SUV,0,0
Mercedes-Benz EQS-Sedan,0,443
Mercedes-Benz G-Class,0,2286
Mercedes-Benz GL/GLS-Class,0,6768
Mercedes-Benz GLA-Class,0,2619
Mercedes-Benz GLB,0,3801
Mercedes-Benz GLC/GLK-Class,0,13674
Mercedes-Benz GLE-Class,0,17496
Mercedes-Benz Metris,0,5001
Mercedes-Benz S-Class,0,5100
Mercedes-Benz SL-Class,0,3
Mercedes-Benz SLC-Class,0,0
Mercedes-Benz Sprinter,0,10704
Mini Cooper,6566,8706
Mini Countryman,3753,4394
Mitsubishi Eclipse Cross,2357,2004
Mitsubishi Mirage,3053,4152
Mitsubishi Outlander,10461,12606
Mitsubishi Outlander PHEV,828,603
Mitsubishi Outlander Sport,4056,5493
Nissan 370Z,177,0
Nissan Altima,33834,28269
Nissan Ariya,201,0
Nissan Armada,3294,4131
Nissan Frontier,19830,22635
Nissan GT-R,1,60
Nissan Kicks,9759,18225
Nissan Leaf,3127,4164
Nissan Maxima,2075,3792
Nissan Murano,7697,6831
Nissan NV,0,75
Nissan NV200,0,441
Nissan Pathfinder,20280,12438
Nissan Rogue,56345,50955
Nissan Sentra,14184,17040
Nissan Titan,2576,4635
Nissan Versa,4062,10344
Polestar Polestar 1,21,0
Polestar Polestar 2,2079,0
Porsche 718,0,1491
Porsche 911,0,2439
Porsche Cayenne,0,5940
Porsche Macan,0,5424
Porsche Panamera,0,750
Porsche Taycan,0,1518
Ram Pickup,105255,134616
Ram ProMaster,18906,14184
Ram ProMaster City,5713,3117
Rivian EDV700,1300,0
Rivian R1S,800,0
Rivian R1T,3900,0
Subaru Ascent,17682,16937
Subaru BRZ,915,1598
Subaru CrossTrek,39798,26399
Subaru Forester,34691,22469
Subaru Impreza,8217,11968
Subaru Impreza WRX,5940,5921
Subaru Legacy,5446,4071
Subaru Outback,41858,31645
Subaru Solterra,919,0
Tesla Model 3,57600,33699
Tesla Model S,8800,3699
Tesla Model X,9800,999
Tesla Model Y,63800,40299
Toyota 4Runner,27604,39221
Toyota 86 / FR-S,0,0
Toyota Avalon,71,3493
Toyota bZ4X,985,0
Toyota C-HR,1828,3319
Toyota Camry,80798,57026
Toyota Corolla,50660,31266
Toyota Corolla Cross,19145,7203
Toyota FJ Cruiser,0,0
Toyota GR86,2305,109
Toyota Highlander,58354,56564
Toyota Land Cruiser,4,46
Toyota Mirai,657,361
Toyota Prius Family,9911,7972
Toyota RAV4,96600,94292
Toyota Sequoia,4806,1959
Toyota Sienna,0,0
Toyota Supra,1097,1005
Toyota Tacoma,61451,51889
Toyota Tundra,29727,16946
Toyota Venza,10552,11225
Toyota Yaris,0,0
